"a"|2021-11-3 0:45:2
"b"|2021-11-3 0:45:3
"c"|2021-11-3 0:45:3
"Enter"|2021-11-3 0:45:3
"d"|2021-11-3 0:45:4
"e"|2021-11-3 0:45:4
"Ctrl+c"|2021-11-3 0:45:5
"Enter"|2021-11-3 0:45:19
"Enter"|2021-11-3 0:45:22
"a"|2021-11-3 0:45:27
"b"|2021-11-3 0:45:28
"c"|2021-11-3 0:45:28
"d"|2021-11-3 0:45:28
"e"|2021-11-3 0:45:29
"f"|2021-11-3 0:45:29
"g"|2021-11-3 0:45:31
"a"|2021-11-3 0:45:32
"s"|2021-11-3 0:45:32
"d"|2021-11-3 0:45:32
"f"|2021-11-3 0:45:32
"Enter"|2021-11-3 0:45:42
"a"|2021-11-3 0:45:44
"d"|2021-11-3 0:45:44
"f"|2021-11-3 0:45:44
"a"|2021-11-3 0:45:44
"d"|2021-11-3 0:45:44
"f"|2021-11-3 0:45:44
"d"|2021-11-3 0:45:45
"f"|2021-11-3 0:45:45
"d"|2021-11-3 0:45:45
"f"|2021-11-3 0:45:45
"d"|2021-11-3 0:45:45
"f"|2021-11-3 0:45:45
"d"|2021-11-3 0:45:45
"f"|2021-11-3 0:45:45
"d"|2021-11-3 0:45:46
"f"|2021-11-3 0:45:46
"d"|2021-11-3 0:45:46
"f"|2021-11-3 0:45:46
"f"|2021-11-3 0:45:46
"Ctrl+z"|2021-11-3 0:45:49
"Ctrl+z"|2021-11-3 0:45:50
"Enter"|2021-11-3 0:45:55
"Ctrl+c"|2021-11-3 0:46:28
